,age,job,marital,education,default,balance,housing,loan,contact,campaign,y,season,day_binned
120,56,technician,divorced,unknown,no,56,yes,no,unknown,1,0,spring,1
121,51,blue-collar,married,secondary,no,26,yes,no,unknown,1,0,spring,1
122,34,admin.,married,unknown,no,3,yes,no,unknown,3,0,spring,1
123,43,services,married,secondary,no,41,yes,yes,unknown,2,0,spring,1
124,52,technician,married,tertiary,no,7,no,yes,unknown,1,0,spring,1
125,33,technician,single,secondary,no,105,yes,no,unknown,2,0,spring,1
126,29,admin.,single,secondary,no,818,yes,yes,unknown,1,0,spring,1
127,34,services,married,secondary,no,-16,yes,yes,unknown,1,0,spring,1
128,31,blue-collar,married,secondary,no,0,yes,no,unknown,1,0,spring,1
129,55,services,married,secondary,no,2476,yes,no,unknown,1,1,spring,1
130,55,management,married,unknown,no,1185,no,no,unknown,1,0,spring,1
131,32,admin.,single,secondary,no,217,yes,no,unknown,1,0,spring,1
132,38,technician,single,secondary,no,1685,yes,no,unknown,1,0,spring,1
133,55,admin.,single,secondary,no,802,yes,yes,unknown,2,0,spring,1
134,28,unemployed,single,tertiary,no,0,yes,no,unknown,2,0,spring,1
135,23,blue-collar,married,secondary,no,94,yes,no,unknown,1,0,spring,1
136,32,technician,single,secondary,no,0,yes,no,unknown,1,0,spring,1
137,43,services,single,unknown,no,0,no,no,unknown,1,0,spring,1
138,32,blue-collar,married,secondary,no,517,yes,no,unknown,1,0,spring,1
139,46,blue-collar,married,secondary,no,265,yes,no,unknown,1,0,spring,1
140,53,housemaid,divorced,primary,no,947,yes,no,unknown,1,0,spring,1
141,34,self-employed,single,secondary,no,3,yes,no,unknown,1,0,spring,1
142,57,unemployed,married,tertiary,no,42,no,no,unknown,1,0,spring,1
143,37,blue-collar,married,secondary,no,37,yes,no,unknown,1,0,spring,1
144,59,blue-collar,married,secondary,no,57,yes,no,unknown,1,0,spring,1
145,33,services,married,secondary,no,22,yes,no,unknown,1,0,spring,1
146,56,blue-collar,divorced,primary,no,8,yes,no,unknown,2,0,spring,1
147,48,unemployed,married,secondary,no,293,yes,no,unknown,1,0,spring,1
148,43,services,married,primary,no,3,yes,no,unknown,2,0,spring,1
149,54,blue-collar,married,primary,no,348,yes,no,unknown,2,0,spring,1
150,51,blue-collar,married,unknown,no,-19,yes,no,unknown,2,0,spring,1
151,26,student,single,secondary,no,0,yes,no,unknown,2,0,spring,1
152,40,management,married,tertiary,no,-4,yes,no,unknown,1,0,spring,1
153,39,management,married,secondary,no,18,yes,no,unknown,1,0,spring,1
154,50,technician,married,primary,no,139,no,no,unknown,2,0,spring,1
155,41,services,married,secondary,no,0,yes,no,unknown,2,0,spring,1
156,51,blue-collar,married,unknown,no,1883,yes,no,unknown,1,0,spring,1
157,60,retired,divorced,secondary,no,216,yes,no,unknown,1,0,spring,1
158,52,blue-collar,married,secondary,no,782,yes,no,unknown,3,0,spring,1
159,48,blue-collar,married,secondary,no,904,yes,no,unknown,2,0,spring,1
160,48,services,married,unknown,no,1705,yes,no,unknown,1,0,spring,1
161,39,technician,single,tertiary,no,47,yes,no,unknown,1,0,spring,1
162,47,services,single,secondary,no,176,yes,no,unknown,2,0,spring,1
163,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,0,spring,1
164,45,technician,married,secondary,no,86,yes,no,unknown,1,0,spring,1
165,26,admin.,single,secondary,no,82,yes,no,unknown,1,0,spring,1
166,52,management,married,tertiary,no,271,yes,no,unknown,1,0,spring,1
167,54,technician,married,secondary,no,1378,yes,no,unknown,1,0,spring,1
168,54,admin.,married,tertiary,no,184,no,no,unknown,2,1,spring,1
169,50,blue-collar,married,primary,no,0,no,no,unknown,3,0,spring,1
170,35,blue-collar,married,secondary,no,0,yes,no,unknown,1,0,spring,1
171,44,services,married,secondary,no,1357,yes,yes,unknown,1,0,spring,1
172,53,entrepreneur,married,unknown,no,19,yes,no,unknown,1,0,spring,1
173,35,retired,single,primary,no,434,no,no,unknown,1,0,spring,1
174,60,admin.,divorced,secondary,no,92,yes,no,unknown,1,0,spring,1
175,53,admin.,divorced,secondary,no,1151,yes,no,unknown,1,0,spring,1
176,48,unemployed,married,secondary,no,41,yes,no,unknown,2,0,spring,1
177,34,technician,married,secondary,no,51,yes,no,unknown,2,0,spring,1
178,54,services,married,secondary,no,214,yes,no,unknown,2,0,spring,1
179,51,management,married,secondary,no,1161,yes,no,unknown,1,0,spring,1
180,31,services,married,tertiary,no,37,yes,no,unknown,1,0,spring,1
181,35,technician,divorced,secondary,no,787,yes,no,unknown,2,0,spring,1
182,35,services,married,secondary,no,59,yes,no,unknown,1,0,spring,1
183,38,technician,married,secondary,no,253,yes,no,unknown,1,0,spring,1
184,36,admin.,married,tertiary,no,211,yes,no,unknown,2,0,spring,1
185,58,retired,married,primary,no,235,yes,no,unknown,1,0,spring,1
186,40,services,divorced,unknown,no,4384,yes,no,unknown,1,0,spring,1
187,54,management,married,secondary,no,4080,no,no,unknown,1,0,spring,1
188,34,blue-collar,single,secondary,no,53,yes,yes,unknown,1,0,spring,1
189,31,management,single,tertiary,no,0,yes,no,unknown,1,0,spring,1
190,51,retired,married,secondary,no,2127,yes,no,unknown,1,0,spring,1
191,33,management,married,tertiary,no,377,yes,no,unknown,1,0,spring,1
192,55,management,married,tertiary,no,73,yes,no,unknown,2,0,spring,1
193,42,admin.,married,secondary,no,445,yes,no,unknown,1,0,spring,1
194,34,blue-collar,married,secondary,no,243,yes,no,unknown,1,0,spring,1
195,33,blue-collar,single,secondary,no,307,yes,no,unknown,2,0,spring,1
196,38,services,married,secondary,no,155,yes,no,unknown,1,0,spring,1
197,50,technician,divorced,tertiary,no,173,no,yes,unknown,1,0,spring,1
198,43,management,married,tertiary,no,400,yes,no,unknown,1,0,spring,1
199,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,2,0,spring,1
200,47,admin.,married,secondary,no,219,yes,no,unknown,1,0,spring,1
201,48,self-employed,married,tertiary,no,7,yes,no,unknown,1,0,spring,1
202,44,blue-collar,married,secondary,no,575,yes,no,unknown,1,0,spring,1
203,35,student,single,unknown,no,298,yes,no,unknown,2,0,spring,1
204,35,services,married,secondary,no,0,yes,no,unknown,1,0,spring,1
205,50,services,married,secondary,no,5699,yes,no,unknown,2,0,spring,1
206,41,management,married,tertiary,no,176,yes,yes,unknown,1,0,spring,1
207,41,management,married,tertiary,no,517,yes,no,unknown,1,0,spring,1
208,39,services,single,unknown,no,257,yes,no,unknown,1,0,spring,1
209,42,retired,married,secondary,no,56,yes,no,unknown,1,0,spring,1
210,38,blue-collar,married,secondary,no,-390,yes,no,unknown,1,0,spring,1
211,53,retired,married,secondary,no,330,yes,no,unknown,2,0,spring,1
212,59,housemaid,divorced,primary,no,195,no,no,unknown,2,0,spring,1
213,36,services,married,secondary,no,301,yes,no,unknown,1,0,spring,1
214,54,blue-collar,married,primary,no,-41,yes,no,unknown,1,0,spring,1
215,40,technician,married,tertiary,no,483,yes,no,unknown,1,0,spring,1
216,47,unknown,married,unknown,no,28,no,no,unknown,2,0,spring,1
217,53,unemployed,married,unknown,no,13,no,no,unknown,3,0,spring,1
218,46,housemaid,married,primary,no,965,no,no,unknown,1,0,spring,1
219,39,management,married,tertiary,no,378,yes,yes,unknown,2,0,spring,1
220,40,unemployed,married,secondary,no,219,yes,no,unknown,1,0,spring,1
221,28,blue-collar,married,primary,no,324,yes,no,unknown,1,0,spring,1
222,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,1,0,spring,1
223,55,retired,married,secondary,no,0,no,yes,unknown,1,0,spring,1
224,43,technician,divorced,unknown,no,205,yes,no,unknown,1,0,spring,1
225,48,blue-collar,married,primary,no,278,yes,no,unknown,2,0,spring,1
226,58,management,married,unknown,no,1065,yes,no,unknown,3,0,spring,1
227,33,management,single,tertiary,no,34,yes,no,unknown,1,0,spring,1
228,36,blue-collar,married,unknown,no,1033,no,no,unknown,2,0,spring,1
229,53,services,divorced,secondary,no,1467,yes,no,unknown,1,0,spring,1
230,47,blue-collar,married,primary,no,-12,yes,no,unknown,1,0,spring,1
231,31,services,married,secondary,no,388,yes,no,unknown,2,0,spring,1
232,57,entrepreneur,married,secondary,no,294,yes,no,unknown,2,0,spring,1
233,53,blue-collar,married,unknown,no,1827,no,no,unknown,1,0,spring,1
234,55,blue-collar,married,primary,no,627,yes,no,unknown,1,0,spring,1
235,45,blue-collar,married,primary,no,25,yes,no,unknown,1,0,spring,1
236,53,admin.,divorced,secondary,no,315,yes,no,unknown,2,0,spring,1
237,37,blue-collar,married,primary,no,0,yes,no,unknown,1,0,spring,1
238,44,admin.,divorced,secondary,no,66,yes,no,unknown,1,0,spring,1
239,49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,1,0,spring,1
240,46,technician,married,secondary,no,349,yes,yes,unknown,1,0,spring,1
241,43,entrepreneur,married,unknown,no,100,yes,no,unknown,1,0,spring,1
242,38,admin.,married,secondary,no,0,no,no,unknown,1,0,spring,1
243,43,technician,married,secondary,no,434,yes,no,unknown,1,0,spring,1
244,49,management,married,tertiary,no,3237,yes,no,unknown,3,0,spring,1
245,42,management,married,unknown,no,275,no,no,unknown,2,0,spring,1
246,22,blue-collar,single,secondary,no,0,yes,no,unknown,2,0,spring,1
247,40,management,married,tertiary,no,207,yes,no,unknown,1,0,spring,1
248,39,blue-collar,married,secondary,no,483,yes,no,unknown,1,0,spring,1
249,51,services,married,secondary,no,2248,yes,no,unknown,2,0,spring,1
250,49,admin.,married,secondary,no,428,yes,no,unknown,1,0,spring,1
251,53,blue-collar,married,secondary,no,0,yes,yes,unknown,1,0,spring,1
252,34,services,single,secondary,no,0,yes,no,unknown,1,0,spring,1
253,33,technician,divorced,secondary,no,140,yes,no,unknown,1,0,spring,1
254,50,management,single,tertiary,no,297,yes,no,unknown,1,0,spring,1
255,39,blue-collar,married,primary,no,279,yes,no,unknown,1,0,spring,1
256,59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,3,0,spring,1
257,30,technician,single,secondary,no,2573,yes,no,unknown,2,0,spring,1
258,36,services,married,secondary,no,143,yes,yes,unknown,1,0,spring,1
259,40,blue-collar,married,secondary,no,475,yes,no,unknown,2,0,spring,1
260,53,blue-collar,married,secondary,no,70,yes,no,unknown,2,0,spring,1
261,34,management,single,tertiary,no,318,yes,no,unknown,2,0,spring,1
262,37,technician,married,secondary,no,275,yes,no,unknown,1,0,spring,1
263,42,management,divorced,tertiary,no,742,yes,no,unknown,3,0,spring,1
264,41,entrepreneur,married,primary,no,236,yes,no,unknown,1,0,spring,1
265,30,student,single,tertiary,no,25,yes,no,unknown,2,0,spring,1
266,37,management,single,tertiary,no,600,yes,no,unknown,1,0,spring,1
267,39,admin.,divorced,secondary,no,-349,yes,no,unknown,2,0,spring,1
268,41,blue-collar,married,primary,no,183,yes,yes,unknown,2,0,spring,1
269,40,blue-collar,married,primary,no,0,yes,no,unknown,1,0,spring,1
270,42,management,single,tertiary,no,0,yes,yes,unknown,2,1,spring,1
271,40,blue-collar,divorced,primary,no,0,yes,no,unknown,1,0,spring,1
272,57,technician,married,secondary,no,1078,yes,no,unknown,4,0,spring,1
273,56,entrepreneur,divorced,secondary,no,155,no,no,unknown,3,0,spring,1
274,37,admin.,married,secondary,no,190,yes,no,unknown,2,0,spring,1
275,59,retired,married,secondary,no,319,yes,no,unknown,3,0,spring,1
276,39,services,divorced,secondary,no,-185,yes,no,unknown,3,0,spring,1
277,49,services,married,secondary,no,47,no,no,unknown,2,0,spring,1
278,38,services,single,secondary,no,570,yes,no,unknown,2,0,spring,1
279,36,self-employed,married,tertiary,no,19,no,no,unknown,2,0,spring,1
280,50,blue-collar,married,primary,no,61,yes,no,unknown,3,0,spring,1
281,41,admin.,married,secondary,no,-62,yes,yes,unknown,2,0,spring,1
282,54,technician,married,tertiary,no,258,no,no,unknown,4,0,spring,1
283,58,blue-collar,married,primary,no,76,yes,no,unknown,2,0,spring,1
284,30,blue-collar,single,secondary,no,0,yes,no,unknown,2,0,spring,1
285,33,admin.,single,secondary,no,352,yes,no,unknown,2,0,spring,1
286,47,admin.,married,secondary,no,368,yes,no,unknown,2,0,spring,1
287,50,technician,single,tertiary,no,339,yes,no,unknown,3,0,spring,1
288,32,blue-collar,married,secondary,no,1331,yes,no,unknown,2,0,spring,1
289,40,self-employed,married,secondary,no,672,yes,no,unknown,2,0,spring,1
290,37,management,married,tertiary,no,58,yes,no,unknown,2,0,spring,1
291,54,technician,single,unknown,no,447,yes,no,unknown,2,0,spring,1
292,24,student,single,secondary,no,423,yes,no,unknown,3,0,spring,1
293,54,management,married,tertiary,no,0,no,no,unknown,2,0,spring,1
294,34,technician,married,secondary,no,19,yes,no,unknown,4,0,spring,1
295,56,technician,divorced,primary,no,13,yes,no,unknown,2,0,spring,1
296,31,blue-collar,single,secondary,no,3,yes,no,unknown,2,0,spring,1
297,24,student,single,secondary,no,82,yes,no,unknown,2,0,spring,1
298,42,blue-collar,divorced,primary,no,28,yes,no,unknown,3,0,spring,1
299,57,technician,married,secondary,no,792,yes,no,unknown,2,0,spring,1
300,42,blue-collar,married,unknown,no,408,yes,no,unknown,2,0,spring,1
301,51,admin.,married,secondary,no,531,yes,no,unknown,2,0,spring,1
302,57,retired,married,secondary,no,211,yes,no,unknown,2,0,spring,1
303,36,services,single,secondary,no,62,yes,no,unknown,2,0,spring,1
304,53,services,married,unknown,no,257,yes,no,unknown,2,0,spring,1
305,50,technician,married,secondary,no,1234,yes,no,unknown,2,0,spring,1
306,54,management,married,tertiary,no,313,yes,no,unknown,2,0,spring,1
307,55,blue-collar,married,secondary,no,89,yes,no,unknown,3,0,spring,1
308,44,blue-collar,married,secondary,no,129,yes,yes,unknown,2,0,spring,1
309,43,management,married,unknown,no,0,yes,no,unknown,2,0,spring,1
310,56,admin.,married,secondary,no,353,yes,no,unknown,2,0,spring,1
311,54,technician,married,unknown,no,851,yes,no,unknown,2,0,spring,1
312,55,services,divorced,primary,no,96,yes,yes,unknown,2,0,spring,1
313,37,services,divorced,secondary,no,398,yes,yes,unknown,2,0,spring,1
314,33,admin.,single,tertiary,no,193,no,no,unknown,2,0,spring,1
315,46,admin.,married,secondary,no,-358,yes,no,unknown,2,0,spring,1
316,36,blue-collar,married,secondary,no,539,yes,yes,unknown,2,0,spring,1
317,51,technician,single,secondary,no,0,yes,no,unknown,2,0,spring,1
318,40,retired,single,primary,no,0,no,no,unknown,2,0,spring,1
319,42,blue-collar,married,secondary,no,490,yes,no,unknown,2,0,spring,1
320,51,blue-collar,married,secondary,no,0,yes,no,unknown,2,0,spring,1
321,49,blue-collar,married,unknown,no,403,yes,no,unknown,2,0,spring,1
322,48,management,married,secondary,no,161,yes,no,unknown,3,0,spring,1
323,32,technician,divorced,tertiary,no,2558,no,no,unknown,2,0,spring,1
324,31,admin.,single,secondary,no,98,yes,no,unknown,2,0,spring,1
325,55,management,single,tertiary,no,115,no,no,unknown,4,0,spring,1
326,40,blue-collar,single,secondary,no,436,yes,no,unknown,3,0,spring,1
327,47,technician,married,tertiary,no,831,yes,no,unknown,3,0,spring,1
328,57,technician,married,unknown,no,206,yes,no,unknown,3,0,spring,1
329,41,blue-collar,married,secondary,no,290,yes,no,unknown,2,0,spring,1
330,48,blue-collar,married,secondary,no,1,no,no,unknown,3,0,spring,1
331,42,blue-collar,married,unknown,no,57,yes,no,unknown,2,0,spring,1
332,30,blue-collar,single,secondary,no,-457,yes,no,unknown,2,0,spring,1
333,58,management,single,tertiary,no,1387,yes,no,unknown,5,0,spring,1
334,45,management,divorced,tertiary,no,24598,yes,no,unknown,3,0,spring,1
335,49,blue-collar,married,secondary,no,30,yes,no,unknown,4,0,spring,1
336,42,admin.,single,secondary,no,1022,yes,no,unknown,2,0,spring,1
337,53,technician,married,secondary,no,56,yes,yes,unknown,2,0,spring,1
338,51,admin.,single,secondary,yes,-2,no,no,unknown,3,0,spring,1
339,32,services,single,secondary,no,121,yes,no,unknown,2,0,spring,1
340,41,blue-collar,single,secondary,no,842,yes,no,unknown,3,0,spring,1
341,43,management,divorced,secondary,no,693,yes,no,unknown,3,0,spring,1
342,40,blue-collar,divorced,secondary,no,-333,yes,no,unknown,2,0,spring,1
343,50,blue-collar,married,primary,no,1533,yes,no,unknown,2,0,spring,1
344,34,management,married,tertiary,no,46,yes,no,unknown,4,0,spring,1
345,53,services,married,unknown,no,18,no,no,unknown,2,0,spring,1
346,45,technician,married,secondary,no,44,yes,no,unknown,4,0,spring,1
347,39,blue-collar,married,primary,no,-100,yes,no,unknown,2,0,spring,1
348,44,services,married,tertiary,no,510,yes,no,unknown,4,0,spring,1
349,55,management,married,tertiary,no,685,yes,no,unknown,3,0,spring,1
350,46,management,single,tertiary,no,187,yes,no,unknown,2,0,spring,1
351,45,blue-collar,married,secondary,no,66,yes,no,unknown,2,0,spring,1
352,34,admin.,married,secondary,no,560,yes,no,unknown,3,0,spring,1
353,36,blue-collar,married,secondary,no,0,yes,no,unknown,2,0,spring,1
354,59,unknown,divorced,unknown,no,27,no,no,unknown,3,0,spring,1
355,31,admin.,single,secondary,no,12,yes,no,unknown,2,0,spring,1
356,44,blue-collar,single,secondary,no,34,yes,no,unknown,4,0,spring,1
357,33,entrepreneur,single,tertiary,no,1068,yes,no,unknown,2,0,spring,1
358,40,blue-collar,married,secondary,no,211,yes,no,unknown,4,0,spring,1
359,46,admin.,single,tertiary,no,377,yes,no,unknown,2,0,spring,1
360,48,management,married,tertiary,no,263,yes,no,unknown,2,0,spring,1
361,42,services,married,secondary,no,1263,yes,no,unknown,2,0,spring,1
362,27,services,married,secondary,no,8,yes,no,unknown,3,0,spring,1
363,48,admin.,married,secondary,no,126,yes,yes,unknown,2,0,spring,1
364,59,admin.,married,secondary,no,230,yes,no,unknown,3,0,spring,1
365,46,technician,married,tertiary,no,841,yes,no,unknown,1,0,spring,1
366,38,admin.,divorced,secondary,no,308,yes,no,unknown,1,0,spring,1
367,43,management,divorced,tertiary,no,1,yes,no,unknown,1,0,spring,1
368,38,admin.,divorced,tertiary,no,86,yes,no,unknown,1,0,spring,1
369,23,student,single,secondary,no,157,yes,no,unknown,1,0,spring,1
370,34,services,married,secondary,no,22,yes,no,unknown,1,0,spring,1
371,38,admin.,married,secondary,no,46,yes,yes,unknown,1,0,spring,1
372,37,blue-collar,married,secondary,no,1293,no,no,unknown,1,0,spring,1
373,25,admin.,single,secondary,no,122,yes,no,unknown,1,0,spring,1
374,48,blue-collar,married,unknown,no,131,yes,no,unknown,1,0,spring,1
375,49,blue-collar,single,secondary,no,143,yes,no,unknown,1,0,spring,1
376,38,admin.,single,secondary,no,393,no,no,unknown,2,0,spring,1
377,43,blue-collar,married,primary,no,98,yes,no,unknown,1,0,spring,1
378,33,management,married,tertiary,no,0,yes,no,unknown,1,0,spring,1
379,55,blue-collar,married,secondary,no,224,yes,no,unknown,1,0,spring,1
380,38,blue-collar,married,secondary,no,757,yes,no,unknown,1,0,spring,1
381,49,services,married,secondary,no,245,yes,yes,unknown,1,0,spring,1
